Neutrino Energy (eV)	Electron type neutrino	electron antineutrino type	"mu, tau, anti mu, anti tau"
6.46E+07	1.2678	1.92304	10.8073
6.48E+07	1.24666	1.82585	10.672
6.49E+07	1.22573	1.8534	10.4162
6.50E+07	1.20511	1.80031	10.2451
6.51E+07	1.18483	1.74487	10.0805
6.53E+07	1.1269	1.75803	9.94136
6.54E+07	1.12413	1.67433	9.79496
6.55E+07	1.12149	1.69965	9.54353
6.56E+07	1.063	1.60659	9.47042
6.58E+07	1.19282	1.6106	9.11589
6.59E+07	1.15594	1.58856	8.95808
6.60E+07	1.1452	1.53157	8.81295
6.61E+07	0.972155	1.54223	8.76629
6.63E+07	1.1107	1.46553	8.49915
6.64E+07	0.927759	1.48795	8.45804
6.65E+07	1.07086	1.41273	8.19213
6.66E+07	0.95289	1.43449	8.09385
6.68E+07	0.917661	1.37422	7.99837
6.69E+07	1.02788	1.37949	7.69529
6.70E+07	0.92745	1.33116	7.65984
6.71E+07	0.84044	1.31071	7.58638
6.73E+07	0.901279	1.27283	7.38574
6.74E+07	0.959914	1.25738	7.16811
6.75E+07	0.933168	1.23291	7.04794
6.76E+07	0.863918	1.22348	6.95835
6.78E+07	0.918119	1.17908	6.78327
6.79E+07	0.7701	1.16403	6.78412
6.80E+07	0.751418	1.14231	6.66514
6.81E+07	0.73864	1.13071	6.53303
6.83E+07	0.727538	1.09233	6.42881
6.84E+07	0.72094	1.0974	6.27944
6.85E+07	0.776604	1.05677	6.11621
6.86E+07	0.752662	1.06162	5.98978
6.88E+07	0.723861	1.00793	5.92935
6.89E+07	0.798115	1.02697	5.69576
6.90E+07	0.78031	0.97173	5.63098
6.91E+07	0.657605	0.98533	5.6048
6.93E+07	0.667822	0.93666	5.51039
6.94E+07	0.743339	0.947281	5.29377
6.95E+07	0.68631	0.912452	5.25754
6.96E+07	0.611812	0.893568	5.22512
6.98E+07	0.703104	0.900116	5.00378
6.99E+07	0.633256	0.852994	4.99943
7.00E+07	0.614361	0.865472	4.88678
7.01E+07	0.66254	0.819679	4.76743
7.03E+07	0.567488	0.81549	4.75188
7.04E+07	0.650388	0.80426	4.56744
7.05E+07	0.548741	0.781671	4.58097
7.06E+07	0.535595	0.789079	4.478
7.08E+07	0.555627	0.747642	4.39269
7.09E+07	0.551971	0.756539	4.28264
7.10E+07	0.593333	0.725963	4.16894
7.11E+07	0.498924	0.707968	4.18034
7.13E+07	0.542928	0.71804	4.02707
7.14E+07	0.564723	0.679781	3.94612
7.15E+07	0.487164	0.689976	3.91784
7.16E+07	0.474002	0.672116	3.85498
7.18E+07	0.521921	0.642817	3.74418
7.19E+07	0.530327	0.654302	3.63377
7.20E+07	0.488147	0.632235	3.60916
7.21E+07	0.443627	0.612746	3.58591
7.23E+07	0.424331	0.620229	3.51205
7.24E+07	0.425699	0.587185	3.45962
7.25E+07	0.433625	0.585429	3.37087
7.26E+07	0.438886	0.586513	3.28346
7.28E+07	0.43856	0.555895	3.2348
7.29E+07	0.432572	0.555937	3.16259
7.30E+07	0.421289	0.553931	3.09916
7.31E+07	0.404992	0.526681	3.06738
7.33E+07	0.385051	0.514878	3.02516
7.34E+07	0.366446	0.522126	2.96393
7.35E+07	0.358539	0.49928	2.9234
7.36E+07	0.370143	0.489611	2.85148
7.38E+07	0.39496	0.495022	2.75255
7.39E+07	0.403427	0.478092	2.69356
7.40E+07	0.37069	0.463989	2.6742
7.41E+07	0.330027	0.464684	2.64915
7.43E+07	0.344433	0.455625	2.57999
7.44E+07	0.377262	0.433961	2.50617
7.45E+07	0.33845	0.437115	2.48032
7.46E+07	0.311857	0.433385	2.45026
7.48E+07	0.356542	0.4121	2.36759
7.49E+07	0.318648	0.404353	2.35503
7.50E+07	0.307791	0.409882	2.30325
7.51E+07	0.338682	0.396028	2.23013
7.53E+07	0.283459	0.380495	2.24583
7.54E+07	0.278847	0.380265	2.19663
7.55E+07	0.276639	0.379772	2.14628
7.56E+07	0.317574	0.361975	2.07107
7.58E+07	0.267212	0.354129	2.07816
7.59E+07	0.309646	0.354013	1.98565
7.60E+07	0.257353	0.351303	1.99139
7.61E+07	0.294218	0.33733	1.92014
7.63E+07	0.266059	0.32749	1.91067
7.64E+07	0.255966	0.328595	1.87305
7.65E+07	0.28477	0.325524	1.80158
7.66E+07	0.243748	0.31725	1.80597
7.68E+07	0.245081	0.303373	1.77444
7.69E+07	0.270757	0.304573	1.7043
7.70E+07	0.24473	0.302673	1.68976
7.71E+07	0.220897	0.294303	1.68027
7.73E+07	0.236935	0.281989	1.63563
7.74E+07	0.252378	0.277599	1.58441
7.75E+07	0.239574	0.279807	1.55557
7.76E+07	0.215435	0.275195	1.54562
7.78E+07	0.202593	0.263813	1.53186
7.79E+07	0.204661	0.256512	1.4998
7.80E+07	0.212969	0.255394	1.45601
7.81E+07	0.200307	0.255676	1.43246
7.83E+07	0.221314	0.251318	1.38056
7.84E+07	0.219359	0.241367	1.35785
7.85E+07	0.215523	0.233735	1.33534
7.86E+07	0.211326	0.231477	1.30845
7.88E+07	0.20752	0.232894	1.27811
7.89E+07	0.204103	0.228738	1.25356
7.90E+07	0.200464	0.222772	1.23163
7.91E+07	0.195375	0.214834	1.21371
7.93E+07	0.187453	0.208975	1.19711
7.94E+07	0.176174	0.209424	1.17812
7.95E+07	0.163575	0.207615	1.16327
7.96E+07	0.155083	0.204133	1.14652
7.98E+07	0.156609	0.197875	1.12306
7.99E+07	0.16699	0.190631	1.09225
8.00E+07	0.173283	0.186835	1.06259
8.01E+07	0.162382	0.185809	1.04787
8.03E+07	0.143792	0.184955	1.04115
8.04E+07	0.143966	0.182406	1.01785
8.05E+07	0.158957	0.17745	0.982611
8.06E+07	0.151644	0.171572	0.971068
8.08E+07	0.132057	0.16672	0.97123
8.09E+07	0.143186	0.164472	0.938522
8.10E+07	0.147555	0.161681	0.913565
8.11E+07	0.125512	0.162255	0.912084
8.13E+07	0.137988	0.159569	0.879772
8.14E+07	0.1352	0.155749	0.864274
8.15E+07	0.120172	0.152696	0.860663
8.16E+07	0.137197	0.146368	0.828671
8.18E+07	0.115321	0.143218	0.832804
8.19E+07	0.129813	0.140616	0.800405
8.20E+07	0.114737	0.139872	0.796095
8.21E+07	0.122792	0.13783	0.77033
8.23E+07	0.111833	0.136508	0.763227
8.24E+07	0.11925	0.134203	0.73909
